Pics,MLS #,Status,SubArea,Address,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Acres,# of Rooms,Total Other Area SqFt,Tax Rate,Tax Value,New Construction,Fireplace,Garage,Cumulative DOM,Days On Market,Closing Date,Sold Price/List Price,Geocode Quality,City,State
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095363/0/60/45/2f2220ee16c61fa1d5e3a639ec55f4e6/2/9b6846f9a504f8cad2c3882a3dd0f31d/2095363.JPG,2095363,CLOSED,305/E,85 Powell Hatley Drive,Not in a Subdivision,1120.0,1962,3,1,0,Detached,"$54,900","$49,000",.51-.75 Acres,5,0.0,0.63,"$107,280.00",No,1,0,14,14,11/22/2016,0.89,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100376/0/60/45/baf4b4da1ab5b53f6c2201d0226c0d0f/2/ee738365f1f989a3082d492ad2cfff6a/2100376.JPG,2100376,CLOSED,009/B,3953 Circle Drive,Not in a Subdivision,1268.0,1961,2,1,0,Detached,"$124,900","$120,000",1-2.9 Acres,5,0.0,0.6965,"$103,928.00",No,0,0,4,4,2/5/2017,0.96,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096304/0/60/45/5788ef12a9179a094b46a7d86e624a05/2/d76cc024d5db9013f15934ca3711a940/2096304.JPG,2096304,CLOSED,015/C,305 Hunter Street,Hunters Ridge,1056.0,1989,2,2,1,Attached,"$145,000","$140,000",0-.25 Acres,8,0.0,0.9805,"$136,287.00",No,1,0,6,6,12/2/2016,0.97,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100465/0/60/45/0aa12c1a4a0ec1019ae8e202be62a2d1/2/e4a0671e9f42dc4e2d055bb1fbcf4047/2100465.JPG,2100465,CLOSED,009/B,8936 Turner Drive,Not in a Subdivision,2060.0,2003,4,3,0,Detached,"$165,000","$140,000",.76-.99 Acres,10,0.0,1.033,"$147,413.00",No,1,0,4,4,2/15/2017,0.85,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2087946/0/60/45/cd55e2ab221b6cc05871086d90bde810/2/3245dd77469ef2f20b40393ed9c6accc/2087946.JPG,2087946,CLOSED,015/A,112 Shelter Haven Drive,West Haven Townhomes,1096.0,2007,2,2,1,Attached,"$140,000","$140,000",0-.25 Acres,4,0.0,0.996,"$124,558.00",No,1,0,6,6,10/10/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2103307/0/60/45/94553aca7d81c6f44b20e04d1f8e6f3f/2/68bfe96e46f23f64550ec2040bb0a8a3/2103307.JPG,2103307,CLOSED,015/A,2 Sparta Lane,Perry Hills,1155.0,1998,3,2,1,Detached,"$115,000","$140,000",0-.25 Acres,6,0.0,0.9805,"$145,495.00",No,0,1,2,2,1/17/2017,1.22,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094219/0/60/45/7753d1ce5c563494ca264064c53b254e/2/6ed7c92d32c1de7edbb47189a75b4542/2094219.JPG,2094219,CLOSED,015/C,430 Eyam Hall Lane,Haddon Hall,1031.0,2003,2,1,0,Condo,"$150,000","$145,000",0-.25 Acres,5,0.0,1.0045,"$129,363.00",No,0,1,46,46,1/11/2017,0.97,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096552/0/60/45/515ab1da2e877eecd32cf67457896d92/2/4ed56d8b4638bab7bc253656a253900c/2096552.JPG,2096552,CLOSED,009/H,2709 Thurrock Drive,Amherst,1460.0,1992,3,2,1,Detached,"$158,900","$146,000",0-.25 Acres,6,0.0,0.6965,"$176,808.00",No,1,0,84,84,2/21/2017,0.92,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095023/0/60/45/1965bbd9e2a1b857b42ba3214ea2160c/2/a4e68dde23f51bd4d72038a2608c3a09/2095023.JPG,2095023,CLOSED,015/A,821 James Street,Damont Hills,1105.0,1971,3,2,0,Detached,"$158,000","$149,000",.26-.5 Acres,5,0.0,0.98,"$125,912.00",No,0,0,7,7,11/30/2016,0.94,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2089920/0/60/45/91f12da8665993adf09a410e99b9f12f/2/08b98328ac3467db68d2e2af1200c051/2089920.JPG,2089920,CLOSED,009/H,2528 Optimist Farm Road,Not in a Subdivision,1530.0,1947,3,1,0,Detached,"$149,900","$150,000",1-2.9 Acres,7,210.0,0.61,"$233,732.00",No,1,0,4,4,11/18/2016,1.0,NA,Apex,NC
