X,Y,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,city,state,addrtype,addrlocat
-78.8524412264363,35.7361431118729,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096304/0/60/45/5788ef12a9179a094b46a7d86e624a05/2/d76cc024d5db9013f15934ca3711a940/2096304.JPG,2096304,CLOSED,015/C,305 Hunter Street,Hunters Ridge,1056.0,1989,2,2,1,Attached,"$145,000","$140,000",0-.25 Acres,8,0.0,0.9805,"$136,287.00",No,1,0,6,6,12/2/2016,0.97,NA,Apex,NC,place
-78.8573812432056,35.7181449834896,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2087946/0/60/45/cd55e2ab221b6cc05871086d90bde810/2/3245dd77469ef2f20b40393ed9c6accc/2087946.JPG,2087946,CLOSED,015/A,112 Shelter Haven Drive,West Haven Townhomes,1096.0,2007,2,2,1,Attached,"$140,000","$140,000",0-.25 Acres,4,0.0,0.996,"$124,558.00",No,1,0,6,6,10/10/2016,1.0,NA,Apex,NC,place
-78.855177,35.719851,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2103307/0/60/45/94553aca7d81c6f44b20e04d1f8e6f3f/2/68bfe96e46f23f64550ec2040bb0a8a3/2103307.JPG,2103307,CLOSED,015/A,2 Sparta Lane,Perry Hills,1155.0,1998,3,2,1,Detached,"$115,000","$140,000",0-.25 Acres,6,0.0,0.9805,"$145,495.00",No,0,1,2,2,1/17/2017,1.22,NA,Apex,NC,place
-78.8698510946662,35.7447528578194,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094219/0/60/45/7753d1ce5c563494ca264064c53b254e/2/6ed7c92d32c1de7edbb47189a75b4542/2094219.JPG,2094219,CLOSED,015/C,430 Eyam Hall Lane,Haddon Hall,1031.0,2003,2,1,0,Condo,"$150,000","$145,000",0-.25 Acres,5,0.0,1.0045,"$129,363.00",No,0,1,46,46,1/11/2017,0.97,NA,Apex,NC,place
-78.8426733028606,35.7231675608212,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095023/0/60/45/1965bbd9e2a1b857b42ba3214ea2160c/2/a4e68dde23f51bd4d72038a2608c3a09/2095023.JPG,2095023,CLOSED,015/A,821 James Street,Damont Hills,1105.0,1971,3,2,0,Detached,"$158,000","$149,000",.26-.5 Acres,5,0.0,0.98,"$125,912.00",No,0,0,7,7,11/30/2016,0.94,NA,Apex,NC,place
-78.857672,35.716136,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2090278/0/60/45/afe8d7c53def8bb29d16f33669577a7b/2/af17b988d0b6e557d8448c8a02daf7bd/2090278.JPG,2090278,CLOSED,015/A,100 Anterbury Drive,Bradley Terrace,1472.0,2004,3,2,1,Attached,"$155,000","$158,000",0-.25 Acres,6,0.0,0.9805,"$139,784.00",No,1,0,3,3,10/25/2016,1.02,NA,Apex,NC,place
-78.8428800816327,35.7299736326531,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2086473/0/60/45/2d700e7794864c1a8fafdb8e64e2980e/2/dc2b43c67dfb9786c0666aa4dc61ee9e/2086473.JPG,2086473,CLOSED,015/C,303 Center Heights Court,Center Heights,1301.0,1996,3,2,1,Attached,"$155,500","$158,000",0-.25 Acres,6,0.0,0.9805,"$126,713.00",No,1,0,4,4,10/12/2016,1.02,NA,Apex,NC,place
-78.858319,35.72549,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2084727/0/60/45/54e3cae0d755d6da89226a33a3299ff8/2/4716a482caea4b172331b90140c67346/2084727.JPG,2084727,CLOSED,015/B,300 Lynch Street,Not in a Subdivision,1068.0,2008,3,2,0,Detached,"$155,000","$159,000",0-.25 Acres,5,0.0,0.7499,"$155,479.00",No,0,0,11,11,10/12/2016,1.03,NA,Apex,NC,place
-78.8569027686498,35.7155355920469,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100380/0/60/45/c29a095fca732d8770b58ec45926aaab/2/6cac77f20cb982e38f2743599acc90ab/2100380.JPG,2100380,CLOSED,015/A,107 Eldon Lane,Bradley Terrace,1452.0,2004,3,2,1,Attached,"$168,500","$159,500",0-.25 Acres,6,0.0,0.994,"$138,000.00",No,0,0,9,9,1/3/2017,0.95,NA,Apex,NC,place
-78.8573704534578,35.7181816430153,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095928/0/60/45/db5753d1a63eda55017653935d4cfe6e/2/8aa8ab967034a5f17d08843999b22023/2095928.JPG,2095928,CLOSED,015/A,108 Shelter Haven Drive,West Haven,1346.0,2007,2,2,1,Attached,"$155,000","$160,000",0-.25 Acres,5,0.0,0.9805,"$135,938.00",No,0,0,5,5,12/12/2016,1.03,NA,Apex,NC,place
