X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,city,state,addrtype,addrlocat
-78.8524412264363,35.7361431118729,305 Hunter Street,Hunters Ridge,1055,1989,2,2,1,Attached,"$145,000","$140,000",0-.25 Acres,8,0,0.9805,"$136,287.00",No,1,0,6,6,0.97,NA,Apex,NC,place
-78.8573812432056,35.7181449834896,112 Shelter Haven Drive,West Haven Townhomes,1098,2007,2,2,1,Attached,"$140,000","$140,000",0-.25 Acres,4,0,0.996,"$124,558.00",No,1,0,6,6,1,NA,Apex,NC,place
-78.855177,35.719851,2 Sparta Lane,Perry Hills,1157,1998,3,2,1,Detached,"$115,000","$140,000",0-.25 Acres,6,0,0.9805,"$145,495.00",No,0,1,2,2,1.22,NA,Apex,NC,place
-78.8698510946662,35.7447528578194,430 Eyam Hall Lane,Haddon Hall,1029,2003,2,1,0,Condo,"$150,000","$145,000",0-.25 Acres,5,0,1.0045,"$129,363.00",No,0,1,46,46,0.97,NA,Apex,NC,place
-78.8426733028606,35.7231675608212,821 James Street,Damont Hills,1103,1971,3,2,0,Detached,"$158,000","$149,000",.26-.5 Acres,5,0,0.98,"$125,912.00",No,0,0,7,7,0.94,NA,Apex,NC,place
-78.857672,35.716136,100 Anterbury Drive,Bradley Terrace,1475,2004,3,2,1,Attached,"$155,000","$158,000",0-.25 Acres,6,0,0.9805,"$139,784.00",No,1,0,3,3,1.02,NA,Apex,NC,place
-78.8428800816327,35.7299736326531,303 Center Heights Court,Center Heights,1301,1996,3,2,1,Attached,"$155,500","$158,000",0-.25 Acres,6,0,0.9805,"$126,713.00",No,1,0,4,4,1.02,NA,Apex,NC,place
-78.858319,35.72549,300 Lynch Street,Not in a Subdivision,1065,2008,3,2,0,Detached,"$155,000","$159,000",0-.25 Acres,5,0,0.7499,"$155,479.00",No,0,0,11,11,1.03,NA,Apex,NC,place
-78.8569027686498,35.7155355920469,107 Eldon Lane,Bradley Terrace,1452,2004,3,2,1,Attached,"$168,500","$159,500",0-.25 Acres,6,0,0.994,"$138,000.00",No,0,0,9,9,0.95,NA,Apex,NC,place
-78.8573704534578,35.7181816430153,108 Shelter Haven Drive,West Haven,1345,2007,2,2,1,Attached,"$155,000","$160,000",0-.25 Acres,5,0,0.9805,"$135,938.00",No,0,0,5,5,1.03,NA,Apex,NC,place
