X,Y,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,City,State,addrtype,addrlocat
-78.7779934599867,35.7934791307079,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2079936/0/60/45/bbeaed7049a7ea89271c97bd5191522c/2/493fb582eb9b541c0745b6ad5d847268/2079936.JPG,2079936,CLOSED,005/E,217 E Johnson Street,Not in a Subdivision,625.0,1910,2,1,0,Detached,"$109,800","$74,000",.26-.5 Acres,4,0.0,0.01,"$86,459.00",No,0,0,19,19,9/14/2016,0.67,NA,Cary,NC,place
-78.785567,35.81299,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2051370/0/60/45/96954b5b64b4a15200921ac3c358a75b/2/3ec597c71589a52e1e1cd4ab531a841f/2051370.JPG,2051370,CLOSED,005/D,501 Gooseneck Drive,Chesapeake Condos,660.0,1986,1,1,0,Condo,"$78,000","$78,000",0-.25 Acres,4,0.0,0.9845,"$77,099.00",No,1,0,118,118,2/7/2017,1.0,NA,Cary,NC,place
-78.7855339945412,35.8129762477255,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2090363/0/60/45/21e3952a5c28525e4252a542d1d8e538/2/ca8e5a1d09a8ec56ecd9802d157640bd/2090363.JPG,2090363,CLOSED,005/D,505 Gooseneck Drive,Chesapeake Condos,730.0,1986,1,1,0,Condo,"$84,000","$80,000",0-.25 Acres,4,0.0,0.9505,"$77,099.00",No,1,0,41,41,1/25/2017,0.95,NA,Cary,NC,place
-78.7928768274814,35.7574726134966,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2097916/0/60/45/3b108d438532f7843996c3b2201c9920/2/7a354851d0e0a1072765cbab211660a2/2097916.JPG,2097916,CLOSED,005/B,118 Carmichael Court,Carmichael Condos,768.0,1980,2,1,0,Condo,"$83,000","$82,000",0-.25 Acres,5,0.0,0.9505,"$75,753.00",No,0,0,13,13,12/29/2016,0.99,NA,Cary,NC,place
-78.784558,35.812474,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094859/0/60/45/440d826ab7ba2f70fd364f144ad1c13d/2/28cd965348c312308d4da88070826720/2094859.JPG,2094859,CLOSED,005/D,101 Oyster Bay Court,Chesapeake Condos,1097.0,1986,1,1,0,Condo,"$86,500","$82,400",0-.25 Acres,4,0.0,0.9505,"$74,512.00",No,1,0,67,67,2/6/2017,0.95,NA,Cary,NC,place
-78.7926766329119,35.7578335267455,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095690/0/60/45/af15494a7d96434d9583f7a977a14cc9/2/93dd5813b4483214a4f0740fa266f5bc/2095690.JPG,2095690,CLOSED,005/B,147 Carmichael Court,Kildaire Farms,778.0,1980,2,1,0,Condo,"$84,900","$85,750",0-.25 Acres,5,0.0,0.9505,"$75,753.00",No,0,0,1,1,11/17/2016,1.01,NA,Cary,NC,place
-78.7861809865454,35.7619032921901,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2082336/0/60/45/f4afa8747c9a8c713ec282f53d77225f/2/21bdc5bac613e0dc0b978356aab4141b/2082336.JPG,2082336,CLOSED,005/B,118 Drummond Place,Kildaire Farms,679.0,1979,2,1,0,Condo,"$94,000","$90,000",0-.25 Acres,4,0.0,0.955,"$74,174.00",No,0,0,23,23,11/7/2016,0.96,NA,Cary,NC,place
-78.7863489247791,35.8124403233039,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096613/0/60/45/f3c78d7f51c0f24f3d3f55fac6fe97d5/2/21b08b3a581da762bf01f26a5910b745/2096613.JPG,2096613,CLOSED,005/D,403 Gooseneck Drive,Chesapeake Condos,745.0,1985,1,1,0,Attached,"$95,000","$93,000",0-.25 Acres,3,0.0,0.9845,"$77,003.00",No,1,0,2,2,12/8/2016,0.98,NA,Cary,NC,place
-78.7861974653252,35.7619351261963,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2088631/0/60/45/c08057d1acc3c00c1f8cccfeb6b22cf7/2/fb01a59696647c447d926928f0e293be/2088631.JPG,2088631,CLOSED,005/B,120 Drummond Place,Drummond Place Condo,730.0,1972,2,1,0,Condo,"$96,000","$94,000",0-.25 Acres,4,0.0,0.928,"$76,945.00",No,0,0,1,1,10/18/2016,0.98,NA,Cary,NC,place
-78.786306,35.812439,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2101249/0/60/45/df338f02ce7b4061c0b809efc7de7eb7/2/01af84cc8c515282f16b8e8e6cfc1486/2101249.JPG,2101249,CLOSED,005/D,401 Gooseneck Drive,Chesapeake Condos,819.0,1985,1,1,0,Condo,"$95,000","$95,000",0-.25 Acres,4,0.0,0.9505,"$74,512.00",No,1,0,3,3,1/26/2017,1.0,NA,Cary,NC,place
