X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,City,State,addrtype,addrlocat
-78.7779934599867,35.7934791307079,217 E Johnson Street,Not in a Subdivision,624,1910,2,1,0,Detached,"$109,800","$74,000",.26-.5 Acres,4,0,0.01,"$86,459.00",No,0,0,19,19,NA,Cary,NC,place
-78.785567,35.81299,501 Gooseneck Drive,Chesapeake Condos,658,1986,1,1,0,Condo,"$78,000","$78,000",0-.25 Acres,4,0,0.9845,"$77,099.00",No,1,0,118,118,NA,Cary,NC,place
-78.7855339945412,35.8129762477255,505 Gooseneck Drive,Chesapeake Condos,727,1986,1,1,0,Condo,"$84,000","$80,000",0-.25 Acres,4,0,0.9505,"$77,099.00",No,1,0,41,41,NA,Cary,NC,place
-78.7928768274814,35.7574726134966,118 Carmichael Court,Carmichael Condos,771,1980,2,1,0,Condo,"$83,000","$82,000",0-.25 Acres,5,0,0.9505,"$75,753.00",No,0,0,13,13,NA,Cary,NC,place
-78.784558,35.812474,101 Oyster Bay Court,Chesapeake Condos,1099,1986,1,1,0,Condo,"$86,500","$82,400",0-.25 Acres,4,0,0.9505,"$74,512.00",No,1,0,67,67,NA,Cary,NC,place
-78.7926766329119,35.7578335267455,147 Carmichael Court,Kildaire Farms,779,1980,2,1,0,Condo,"$84,900","$85,750",0-.25 Acres,5,0,0.9505,"$75,753.00",No,0,0,1,1,NA,Cary,NC,place
-78.7861809865454,35.7619032921901,118 Drummond Place,Kildaire Farms,674,1979,2,1,0,Condo,"$94,000","$90,000",0-.25 Acres,4,0,0.955,"$74,174.00",No,0,0,23,23,NA,Cary,NC,place
-78.7863489247791,35.8124403233039,403 Gooseneck Drive,Chesapeake Condos,740,1985,1,1,0,Attached,"$95,000","$93,000",0-.25 Acres,3,0,0.9845,"$77,003.00",No,1,0,2,2,NA,Cary,NC,place
-78.7861974653252,35.7619351261963,120 Drummond Place,Drummond Place Condo,734,1972,2,1,0,Condo,"$96,000","$94,000",0-.25 Acres,4,0,0.928,"$76,945.00",No,0,0,1,1,NA,Cary,NC,place
-78.786306,35.812439,401 Gooseneck Drive,Chesapeake Condos,815,1985,1,1,0,Condo,"$95,000","$95,000",0-.25 Acres,4,0,0.9505,"$74,512.00",No,1,0,3,3,NA,Cary,NC,place
-78.7475153878227,35.7667625011811,1230 Donaldson Court,Williamsburg Manor,1177,1972,2,1,1,Attached,"$100,000","$100,000",0-.25 Acres,5,0,0.97,"$83,129.00",No,0,0,2,2,NA,Cary,NC,place
-78.7969542,35.7785359,111 Cimmaron Court,Chatham Pines,933,1985,2,1,1,Condo,"$99,000","$100,000",0-.25 Acres,5,180,1.0465,"$93,852.00",No,0,0,4,4,NA,Cary,NC,highway
-78.784558,35.812474,101 Oyster Bay Court,Chesapeake Condos,975,1986,2,1,0,Condo,"$100,000","$100,000",0-.25 Acres,6,0,0.93,"$87,548.00",No,1,0,2,2,NA,Cary,NC,place
-78.7490958383318,35.7673362227366,1126 Nottingham Circle,Williamsburg Manor,1163,1972,2,1,1,Attached,"$105,000","$105,000",0-.25 Acres,5,0,0.95,"$83,129.00",No,0,0,1,1,NA,Cary,NC,place
-78.748311518363,35.7660771122452,1240 Jamestown Court,Williamsburg Manor,1149,1972,2,1,1,Attached,"$114,900","$105,000",0-.25 Acres,5,0,0.955,"$83,129.00",No,0,0,6,6,NA,Cary,NC,place
-78.809894,35.770688,100 Hunting Chase,Foxdale Run Condos,1019,1986,2,1,1,Condo,"$109,000","$106,000",0-.25 Acres,5,0,0.9845,"$93,316.00",No,1,0,60,60,NA,Cary,NC,place
-78.7855339945412,35.8129762477255,505 Gooseneck Drive,Chesapeake Condos,1043,1986,2,2,0,Condo,"$115,000","$110,000",0-.25 Acres,5,0,0.95,"$94,924.00",No,1,0,3,3,NA,Cary,NC,place
-78.9044698,35.8140231,624 Waterford Lake Drive,Waterford Drive,806,2005,1,1,1,Condo,"$111,000","$111,000",0-.25 Acres,3,0,0.97024,"$101,288.00",No,0,0,9,9,NA,Cary,NC,highway
-78.7900063673469,35.7919961632653,108 Candytuff Court,Taylors Pond,1125,1984,2,1,1,Attached,"$125,000","$119,000",0-.25 Acres,5,0,0.928,"$107,665.00",No,0,0,5,5,NA,Cary,NC,place
-78.78543,35.811435,101 Choptank Court,Chesapeake Condos,1393,1984,2,2,1,Condo,"$116,900","$119,000",0-.25 Acres,8,0,0.9505,"$115,756.00",No,1,0,1,1,NA,Cary,NC,place
-78.748628055003607,35.767361062292,1117 Nottingham Circle,Williamsburg Manor,1382,1973,3,1,1,Attached,"$129,900","$120,000",0-.25 Acres,5,1380,0.95,"$91,624.00",No,0,0,12,12,NA,Cary,NC,place
