X,Y,,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,City,State,addrtype,addrlocat
-78.856592,35.72605,1,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2060235/0/60/45/9deffd19e4505b9d6816b288d608e0a5/2/fa11694417cd2f4ca8844dcfd36ae620/2060235.JPG,2060235,CLOSED,015/B,200 West Street,Not in a Subdivision,903,1984,3,1,0,Detached,"$50,000","$55,000",0-.25 Acres,4,0,1.0045,"$49,112.00",No,0,0,7,7,5/16/2016,1.1,NA,Apex,NC,street_address
-78.8568039,35.7260389,2,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2060475/0/60/45/e3f43549cd97b0f7d85bd2b55756c648/2/67e6d5405b7bef28de1565db3361c9ce/2060475.JPG,2060475,CLOSED,015/B,204 West Street,Not in a Subdivision,1046,1935,3,1,0,Detached,"$55,000","$66,500",0-.25 Acres,4,0,1.0045,"$49,915.00",No,0,0,6,6,5/12/2016,1.21,NA,Apex,NC,premise
-78.90478,35.759988,3,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2044551/0/60/45/be035f3eca57dc4245dc820ea5ad2e1e/2/3fcdaac1a037e071f80385f8896d9d8c/2044551.JPG,2044551,CLOSED,010/A,7725 Secluded Acres Road,Not in a Subdivision,1534,1983,3,2,0,Detached,"$108,000","$116,000",1-2.9 Acres,6,0,0.6945,"$176,784.00",No,1,0,7,7,2/15/2016,1.07,NA,Apex,NC,street_address
-78.855382,35.7215909,4,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2058218/0/60/45/821a0c7678ed4232a225a79494af4374/2/d29ba30b1969f9694d8aa3c14a426c21/2058218.JPG,2058218,CLOSED,015/A,713 Tingen Road,Not in a Subdivision,729,1955,2,1,0,Detached,"$133,000","$125,000",.26-.5 Acres,5,0,0.96,"$157,484.00",No,0,0,110,110,7/29/2016,0.94,NA,Apex,NC,street_address
-78.855361,35.720128,5,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2103307/0/60/45/94553aca7d81c6f44b20e04d1f8e6f3f/2/68bfe96e46f23f64550ec2040bb0a8a3/2103307.JPG,2103307,CLOSED,015/A,2 Sparta Lane,Perry Hills,1155,1998,3,2,1,Detached,"$115,000","$140,000",0-.25 Acres,6,0,0.9805,"$145,495.00",No,0,1,2,2,1/17/2017,1.22,NA,Apex,NC,street_address
-78.842349,35.7233639,6,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095023/0/60/45/1965bbd9e2a1b857b42ba3214ea2160c/2/a4e68dde23f51bd4d72038a2608c3a09/2095023.JPG,2095023,CLOSED,015/A,821 James Street,Damont Hills,1105,1971,3,2,0,Detached,"$158,000","$149,000",.26-.5 Acres,5,0,0.98,"$125,912.00",No,0,0,7,7,11/30/2016,0.94,NA,Apex,NC,street_address
-78.828975,35.743066,7,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2051667/0/60/45/96a3ce473cb4eda27acb7a2aa0e7c6c8/2/74c26c2598d3192325678248dcd0fdcf/2051667.JPG,2051667,CLOSED,015/C,1701 Chestnut Street,Knollwood,1196,1968,3,1,1,Detached,"$150,000","$152,500",.26-.5 Acres,5,0,1,"$156,469.00",No,0,0,0,0,4/13/2016,1.02,NA,Apex,NC,street_address
-78.8498367,35.7376301,8,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2050812/0/60/45/52e08094280c2e35444b632290cdf73b/2/1086aa463b0ae5e05085a26438408c1e/2050812.JPG,2050812,CLOSED,015/C,610 Bladestone Court,Bladestone,1100,1991,3,1,0,Detached,"$154,999","$155,000",0-.25 Acres,6,0,1.0045,"$130,398.00",No,0,0,1,1,4/8/2016,1,NA,Apex,NC,premise
-78.858304,35.725599,9,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2084727/0/60/45/54e3cae0d755d6da89226a33a3299ff8/2/4716a482caea4b172331b90140c67346/2084727.JPG,2084727,CLOSED,015/B,300 Lynch Street,Not in a Subdivision,1068,2008,3,2,0,Detached,"$155,000","$159,000",0-.25 Acres,5,0,0.7499,"$155,479.00",No,0,0,11,11,10/12/2016,1.03,NA,Apex,NC,street_address
-78.858067,35.717283,10,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2063706/0/60/45/56ee80cae4688b1330f600ddb3c616b1/2/bc0e034e4d725c5db5c0797443380b04/2063706.JPG,2063706,CLOSED,015/A,308 Port Haven Drive,West Haven Townhomes,1328,2007,3,2,1,Detached,"$155,000","$159,000",0-.25 Acres,6,0,1.0045,"$133,834.00",No,1,0,2,2,6/3/2016,1.03,NA,Apex,NC,street_address
