Pics,MLS #,Status,SubArea,Address,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Acres,# of Rooms,Total Other Area SqFt,Tax Rate,Tax Value,New Construction,Fireplace,Garage,Cumulative DOM,Days On Market,Closing Date,Sold Price/List Price,Geocode Quality,City,State
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2090595/0/60/45/b3497a032b134fd37351e9e397fe71c3/2/a7dd3a5e021c1a0dd2796f439c251655/2090595.JPG,2090595,CLOSED,009/B,113 Writing Rock Place,Woodcreek,1713.0,2016,3,2,1,Attached,"$239,971","$230,000",0-.25 Acres,6,0.0,1.03,$0.00,Yes,0,1,86,86,1/31/2017,0.96,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2080285/0/60/45/5e569d3cc6b4054b92145f07995b4103/2/949dca732bb0ad99e101b4148ea08b57/2080285.JPG,2080285,CLOSED,009/B,114 Writing Rock Place,Woodcreek,1713.0,2016,3,2,1,Attached,"$235,680","$235,680",0-.25 Acres,6,0.0,1.05,$0.00,Yes,0,1,10,10,1/17/2017,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2090616/0/60/45/f2b75874f032ada004669c7456c52261/2/ea6262482e07753c4a8a9cae3c154b9b/2090616.JPG,2090616,CLOSED,009/B,117 Writing Rock Place,Woodcreek,1856.0,2016,3,2,1,Attached,"$255,250","$240,000",0-.25 Acres,6,0.0,1.03,$0.00,Yes,1,1,63,63,2/23/2017,0.94,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2080275/0/60/45/bf8e00d809c23fea0e5939ba46483a69/2/fab274026f1899838c707b51a9f5fff8/2080275.JPG,2080275,CLOSED,009/B,105 Writing Rock Place,Woodcreek,1856.0,2016,3,2,1,Attached,"$254,615","$244,615",0-.25 Acres,6,0.0,1.03,$0.00,Yes,1,1,123,123,12/22/2016,0.96,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2077078/0/60/45/85fc182ecbd95216c1e3887e9f7ccbcf/2/321cb9361271cf5aed91f9bb298f9dae/2077078.JPG,2077078,CLOSED,009/B,107 Writing Rock Place,Woodcreek,1713.0,2016,3,2,1,Attached,"$245,942","$245,316",0-.25 Acres,6,0.0,1.05,$0.00,Yes,0,1,35,35,11/4/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2080277/0/60/45/b3904bebbabe5460024b8c257c381724/2/b574730d268120f7f156b0ed88b22a3e/2080277.JPG,2080277,CLOSED,009/B,101 Writing Rock Place,Woodcreek,1856.0,2016,3,2,1,Attached,"$252,361","$253,136",0-.25 Acres,6,0.0,1.05,$0.00,Yes,0,1,15,15,11/17/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2078461/0/60/45/c777792ac1f8571c86f992b9530a185a/2/c72adab8c63ae03bb1d471c7e8ac8350/2078461.JPG,2078461,CLOSED,009/B,110 Writing Rock Place,Woodcreek,1856.0,2016,3,2,1,Attached,"$257,742","$256,750",0-.25 Acres,6,0.0,1.05,$0.00,Yes,1,1,54,54,1/4/2017,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2082409/0/60/45/380b3f96ff23844c79b9df5bf6552e9c/2/67225815cf19a921e9e206c0231d0473/2082409.JPG,2082409,CLOSED,009/B,109 Writing Rock Place,Woodcreek,1856.0,2016,3,2,1,Attached,"$262,385","$262,250",0-.25 Acres,6,0.0,1.03,$0.00,Yes,0,1,94,94,2/24/2017,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2065887/0/60/45/f3570a9eef28e9f47efd0d733568239c/2/ca2ad8c10b1bb4c7f3394a74eb64be5b/2065887.JPG,2065887,CLOSED,015/B,2733 Masonboro Ferry Drive,Bella Casa,1991.0,2016,3,2,1,Attached,"$291,690","$291,860",0-.25 Acres,11,986.0,1.0045,"$291,690.00",Yes,1,2,1,1,12/2/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2045153/0/60/45/6d87832bdb581bf7e1f3be4edb8ce841/2/d4999aa773ecab90af9c50a460d75e6d/2045153.JPG,2045153,CLOSED,015/B,2719 Masonboro Ferry Drive,Bella Casa,1991.0,2016,3,2,1,Attached,"$281,050","$294,731",0-.25 Acres,7,0.0,1.0045,"$279,700.00",Yes,1,2,23,23,9/27/2016,1.05,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2045340/0/60/45/d5a1948ea93201da83b0111ce2ac72c7/2/f33855b5a4c89b1f6cb55c0d330d5c8d/2045340.JPG,2045340,CLOSED,015/B,2715 Masonboro Ferry Drive,Bella Casa,2127.0,2016,3,2,1,Attached,"$301,000","$301,080",0-.25 Acres,12,0.0,1.0045,"$300,850.00",Yes,1,2,4,4,9/22/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2075992/0/60/45/d799769ae3bfb21e965ee7ef03f29fbe/2/55695ed30cc615814316222b98a30c7e/2075992.JPG,2075992,CLOSED,015/B,1004 Waymaker Court,Hempstead at Beaver Creek,2428.0,2016,3,3,1,Attached,"$305,360","$306,475",0-.25 Acres,7,0.0,1.0045,$0.00,Yes,0,2,0,0,1/19/2017,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2045368/0/60/45/74a060b4f485a447810e8472bd112311/2/234875e8c1dd18939fb105b833d84b4f/2045368.JPG,2045368,CLOSED,015/B,2722 Masonboro Ferry Drive,Bella Casa,1991.0,2016,3,2,1,Attached,"$284,700","$311,216",0-.25 Acres,11,986.0,1.0045,"$284,700.00",Yes,1,2,10,10,8/31/2016,1.09,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2045163/0/60/45/5e998fb3ed736ec75178ed6c2729220b/2/d418682272548ee8b7a00137d81320a1/2045163.JPG,2045163,CLOSED,015/B,2717 Masonboro Ferry Drive,Bella Casa,2127.0,2016,3,2,1,Attached,"$294,700","$315,310",0-.25 Acres,8,617.0,1.0045,"$294,700.00",Yes,1,1,42,42,9/28/2016,1.07,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2057559/0/60/45/ab7faf4f66c6629589f23cc88cb48dee/2/df9f97a60799ea54989169fa2e7529f2/2057559.JPG,2057559,CLOSED,015/B,2732 Masonboro Ferry Drive,Bella Casa,2127.0,2016,3,2,1,Attached,"$269,700","$315,345",0-.25 Acres,11,600.0,1.0045,"$269,700.00",Yes,1,2,5,5,1/12/2017,1.17,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100528/0/60/45/8e355c8892444bcec90c109d393450af/2/a3ac678dd9df93ad3adf67615eb43d72/2100528.JPG,2100528,CLOSED,015/B,2732 Masonboro Ferry Drive,Bella Casa,2615.0,2016,3,2,1,Attached,"$317,530","$317,530",0-.25 Acres,6,624.0,1.0045,"$317,530.00",Yes,1,2,1,1,11/17/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2075985/0/60/45/cc55b2a7511b94883a527c984c4b43f0/2/5046adf63cd9e2c3c26e6e1349c36f2e/2075985.JPG,2075985,CLOSED,015/B,1010 Waymaker Court,Hempstead at Beaver Creek,2428.0,2016,3,3,1,Attached,"$316,725","$331,820",0-.25 Acres,7,0.0,1.0045,$0.00,Yes,0,2,0,0,12/29/2016,1.05,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2057556/0/60/45/6395ec590170ef3b3fb7561c43f030e6/2/991bbfaa18d451c580daf022d2a29df8/2057556.JPG,2057556,CLOSED,015/B,2735 Masonboro Ferry Drive,Bella Casa,2475.0,2016,4,3,0,Attached,"$322,900","$340,385",0-.25 Acres,13,800.0,1.0045,"$322,900.00",Yes,1,2,7,7,12/9/2016,1.05,NA,Apex,NC
