X,Y,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,City,State,addrtype,addrlocat
-78.5653775223036,35.8466113725626,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2084343/0/60/45/5a9a4c23345a6968ab7d99b54fd87caf/2/3f87644041fcca2d25494ac76a523f12/2084343.JPG,2084343,CLOSED,008/C,5008 Louisburg Road,Not in a Subdivision,1418.0,1964,3,1,0,Detached,"$175,000","$38,000",.26-.5 Acres,7,0.0,1.0188,"$103,558.00",No,1,1,4,4,9/28/2016,0.22,NA,Raleigh,NC,place
-78.644909,35.875182,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2098244/0/60/45/027d24eef3538c823321821998340894/2/86f7963ae98bb6fcc2da12e3ef90961e/2098244.JPG,2098244,CLOSED,002/C,7000 Longstreet Drive,Stoney Hollow,1016.0,1975,2,1,1,Condo,"$45,000","$41,000",0-.25 Acres,5,0.0,1.0188,"$42,536.00",No,0,0,46,46,2/9/2017,0.91,NA,Raleigh,NC,place
-78.608083107569,35.8003386122885,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2082053/0/60/45/2a519b1124ccb7a1b3697417e2a29f36/2/df2591051262d5091ae2bdf708bc08d8/2082053.JPG,2082053,CLOSED,003/C,1311 Park Glen Drive,Park Glen,912.0,1986,2,2,0,Condo,"$41,000","$41,000",0-.25 Acres,6,0.0,1.1,"$34,042.00",No,0,0,5,5,10/13/2016,1.0,NA,Raleigh,NC,place
-78.6283238256783,35.8549350595589,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2104498/0/60/45/352c0aac097c822f385d5d6b7f672404/2/00426ffc8facf7fb2f3e8ae4510138af/2104498.JPG,2104498,CLOSED,002/F,611 Pine Ridge Place,Cedar Hills Condo,904.0,1972,2,1,0,Condo,"$44,900","$44,900",0-.25 Acres,4,0.0,1.03,"$56,603.00",No,0,0,7,7,2/22/2017,1.0,NA,Raleigh,NC,place
-78.7040485212745,35.7830825212745,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/1953272/0/60/45/3b55f40339756a398b0e6bc1a23ea32a/2/d5c68fe4e6c6fa0fe7e3909eb66b4e42/1953272.JPG,1953272,CLOSED,004/B,1018 Sandlin Place,Driftwood,941.0,1972,2,1,1,Condo,"$59,000","$45,000",0-.25 Acres,6,0.0,0.95,"$63,349.00",No,0,0,929,929,1/10/2017,0.76,NA,Raleigh,NC,place
-78.6091149679702,35.7996651880457,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2074236/0/60/45/3283cba151207f26d4d31a5f52b48e72/2/27118f69bdf872baad126acfa76879c6/2074236.JPG,2074236,CLOSED,003/C,1330 Park Glen Drive,Park Glen,912.0,1985,2,2,0,Condo,"$55,000","$49,000",0-.25 Acres,4,0.0,1.07,"$54,521.00",No,0,0,31,31,9/23/2016,0.89,NA,Raleigh,NC,place
-78.6081599757682,35.8002520853172,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094147/0/60/45/89a62373d9ec1a8acd69f4a5546bda83/2/3549345013528173d289ee22c2e48f9a/2094147.JPG,2094147,CLOSED,003/C,1331 Park Glen Drive,Park Glen,912.0,1986,2,2,0,Condo,"$52,500","$50,000",0-.25 Acres,4,0.0,1.02,"$34,042.00",No,0,0,21,21,12/16/2016,0.95,NA,Raleigh,NC,place
-78.7040485212745,35.7830825212745,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/1953270/0/60/45/7e2b4a56e1c056f49e170df325972890/2/743551903787c2f51a39a26c9e06c23b/1953270.JPG,1953270,CLOSED,004/B,1018 Sandlin Place,Driftwood,942.0,1972,2,1,1,Condo,"$59,000","$50,000",0-.25 Acres,6,0.0,0.95,"$63,349.00",No,0,0,929,929,1/10/2017,0.85,NA,Raleigh,NC,place
-78.5903896480111,35.8479447448864,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2064256/0/60/45/1cad73d98b7d9b5a6e845b1fb5086ea2/2/5cda029a7a6d271b959b6ac956acef94/2064256.JPG,2064256,CLOSED,002/C,2614 Brafferton Court,Millbrook Villlage Condos,756.0,1981,2,1,0,Condo,"$50,000","$50,000",0-.25 Acres,5,0.0,1.0355,"$61,348.00",No,1,0,59,0,9/26/2016,1.0,NA,Raleigh,NC,place
-78.7040260179807,35.7830588853982,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2102522/0/60/45/6f1e744dfb6d8776c0abc03cc06ce1a2/2/fed0b15d77bdd7b24e122699f682cb97/2102522.JPG,2102522,CLOSED,004/B,1004 Sandlin Place,Driftwood,923.0,1972,2,1,0,Condo,"$53,900","$53,900",0-.25 Acres,5,0.0,1.0188,"$49,654.00",No,0,0,5,5,1/18/2017,1.0,NA,Raleigh,NC,place
-78.5835525183128,35.8384819994761,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2079614/0/60/45/d89d293fe77fd0fa8249848c0c060420/2/6b395dec7f7ad1d6c0e85601927d1ecc/2079614.JPG,2079614,CLOSED,002/E,4252 Lake Ridge Drive,Lake Ridge Villa Condos,1290.0,1975,3,2,1,Condo,"$56,000","$54,510",0-.25 Acres,5,0.0,1.06,"$75,069.00",No,0,0,16,16,9/13/2016,0.97,NA,Raleigh,NC,place
-78.6091983259852,35.7995067489656,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2092893/0/60/45/524af60dc1552dd33db370ff2638a9b2/2/e12db210ae1d0cf38da8d7cb7c03bb4d/2092893.JPG,2092893,CLOSED,003/C,1341 Park Glen Drive,Park Glen,1012.0,1986,2,2,0,Condo,"$55,000","$55,000",0-.25 Acres,4,0.0,1.0188,"$50,223.00",No,1,0,6,6,11/1/2016,1.0,NA,Raleigh,NC,place
-78.5329025643416,35.7468678125931,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095441/0/60/45/10dd7584dd8f531f102e2e8cb76ac1b6/2/417c80072107744703c9cdce3ec7d5a7/2095441.JPG,2095441,CLOSED,003/E,2412 Barrington Drive,Neuse Woods,1350.0,1995,3,2,0,Manufactured,"$48,950","$56,000",.26-.5 Acres,5,0.0,0.697,"$65,831.00",No,0,0,18,18,12/2/2016,1.14,NA,Raleigh,NC,place
-78.6465742521269,35.8744639119116,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2083824/0/60/45/37aa25a2883da7e923b72598e62aec02/2/891276ac77942f648057657eeb992e93/2083824.JPG,2083824,CLOSED,002/C,7122 Longstreet Drive,Stoney Hollow,1050.0,1975,3,1,1,Condo,"$57,000","$56,500",0-.25 Acres,6,0.0,1.0355,"$46,172.00",No,0,0,7,7,9/26/2016,0.99,NA,Raleigh,NC,place
