X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,City,State,addrtype,addrlocat
-78.5653775223036,35.8466113725626,5008 Louisburg Road,Not in a Subdivision,1414,1964,3,1,0,Detached,"$175,000","$38,000",.26-.5 Acres,7,0,1.0188,"$103,558.00",No,1,1,4,4,0.22,NA,Raleigh,NC,place
-78.644909,35.875182,7000 Longstreet Drive,Stoney Hollow,1019,1975,2,1,1,Condo,"$45,000","$41,000",0-.25 Acres,5,0,1.0188,"$42,536.00",No,0,0,46,46,0.91,NA,Raleigh,NC,place
-78.608083107569,35.8003386122885,1311 Park Glen Drive,Park Glen,909,1986,2,2,0,Condo,"$41,000","$41,000",0-.25 Acres,6,0,1.1,"$34,042.00",No,0,0,5,5,1,NA,Raleigh,NC,place
-78.6283238256783,35.8549350595589,611 Pine Ridge Place,Cedar Hills Condo,906,1972,2,1,0,Condo,"$44,900","$44,900",0-.25 Acres,4,0,1.03,"$56,603.00",No,0,0,7,7,1,NA,Raleigh,NC,place
-78.7040485212745,35.7830825212745,1018 Sandlin Place,Driftwood,937,1972,2,1,1,Condo,"$59,000","$45,000",0-.25 Acres,6,0,0.95,"$63,349.00",No,0,0,929,929,0.76,NA,Raleigh,NC,place
-78.6091149679702,35.7996651880457,1330 Park Glen Drive,Park Glen,915,1985,2,2,0,Condo,"$55,000","$49,000",0-.25 Acres,4,0,1.07,"$54,521.00",No,0,0,31,31,0.89,NA,Raleigh,NC,place
-78.6081599757682,35.8002520853172,1331 Park Glen Drive,Park Glen,909,1986,2,2,0,Condo,"$52,500","$50,000",0-.25 Acres,4,0,1.02,"$34,042.00",No,0,0,21,21,0.95,NA,Raleigh,NC,place
-78.7040485212745,35.7830825212745,1018 Sandlin Place,Driftwood,942,1972,2,1,1,Condo,"$59,000","$50,000",0-.25 Acres,6,0,0.95,"$63,349.00",No,0,0,929,929,0.85,NA,Raleigh,NC,place
-78.5903896480111,35.8479447448864,2614 Brafferton Court,Millbrook Villlage Condos,754,1981,2,1,0,Condo,"$50,000","$50,000",0-.25 Acres,5,0,1.0355,"$61,348.00",No,1,0,59,0,1,NA,Raleigh,NC,place
-78.7040260179807,35.7830588853982,1004 Sandlin Place,Driftwood,926,1972,2,1,0,Condo,"$53,900","$53,900",0-.25 Acres,5,0,1.0188,"$49,654.00",No,0,0,5,5,1,NA,Raleigh,NC,place
-78.5835525183128,35.8384819994761,4252 Lake Ridge Drive,Lake Ridge Villa Condos,1285,1975,3,2,1,Condo,"$56,000","$54,510",0-.25 Acres,5,0,1.06,"$75,069.00",No,0,0,16,16,0.97,NA,Raleigh,NC,place
-78.6091983259852,35.7995067489656,1341 Park Glen Drive,Park Glen,1015,1986,2,2,0,Condo,"$55,000","$55,000",0-.25 Acres,4,0,1.0188,"$50,223.00",No,1,0,6,6,1,NA,Raleigh,NC,place
-78.5329025643416,35.7468678125931,2412 Barrington Drive,Neuse Woods,1352,1995,3,2,0,Manufactured,"$48,950","$56,000",.26-.5 Acres,5,0,0.697,"$65,831.00",No,0,0,18,18,1.14,NA,Raleigh,NC,place
-78.6465742521269,35.8744639119116,7122 Longstreet Drive,Stoney Hollow,1049,1975,3,1,1,Condo,"$57,000","$56,500",0-.25 Acres,6,0,1.0355,"$46,172.00",No,0,0,7,7,0.99,NA,Raleigh,NC,place
-78.6464660280509,35.8745053039786,7108 Longstreet Drive,Stoney Hollow,1147,1975,3,1,1,Condo,"$57,000","$57,000",0-.25 Acres,6,0,1.0188,"$46,172.00",No,0,0,1,1,1,NA,Raleigh,NC,place
-78.5922627296124,35.8230699417758,3033 Huntleigh Drive,Lakeside Condominiums,556,1983,1,1,0,Condo,"$59,900","$57,500",0-.25 Acres,2,0,1.09,"$48,000.00",No,0,0,17,9,0.96,NA,Raleigh,NC,place
-78.7040319985973,35.7830659985973,1008 Sandlin Place,Driftwood,1018,1972,2,2,0,Condo,"$59,000","$57,800",0-.25 Acres,6,0,1.02,"$53,756.00",No,0,0,3,3,0.98,NA,Raleigh,NC,place
-78.5902800239688,35.8477972440078,2607 Brafferton Court,Millbrook Villlage Condos,899,1981,2,2,0,Condo,"$62,000","$58,000",0-.25 Acres,4,0,0.9818,"$65,780.00",No,1,0,6,6,0.94,NA,Raleigh,NC,place
-78.6209814702758,35.7687024726921,1124 Upchurch Street,Quarry Hills,651,1968,2,1,0,Detached,"$62,000","$58,000",0-.25 Acres,4,0,1.0188,"$58,391.00",No,0,0,65,65,0.94,NA,Raleigh,NC,place
-78.7053075761484,35.7817135646664,1204 Schaub Drive,Driftwood,905,1972,2,1,0,Condo,"$60,000","$59,000",0-.25 Acres,5,0,1.018,"$49,654.00",No,0,0,0,0,0.98,NA,Raleigh,NC,place
-78.5754778910933,35.8535533756866,4921 Hollenden Drive,Villages East,888,1986,1,1,1,Condo,"$59,000","$59,000",0-.25 Acres,3,0,1.1,"$48,000.00",No,0,0,30,30,1,NA,Raleigh,NC,place
-78.7067431880821,35.7823038170197,1283 Schaub Drive,Driftwood,1024,1972,2,1,1,Condo,"$59,900","$59,000",0-.25 Acres,5,0,1.2,"$53,756.00",No,0,0,18,18,0.98,NA,Raleigh,NC,place
-78.596897,35.845655,4706 Walden Pond Drive,Walden Woods,990,1973,2,1,0,Condo,"$67,000","$59,250",0-.25 Acres,5,0,1.268,"$55,910.00",No,1,0,80,80,0.88,NA,Raleigh,NC,place
-78.6037027678428,35.7672136296113,716 Glenbrook Drive,Stratford Park,979,1960,3,1,0,Detached,"$65,000","$60,000",0-.25 Acres,6,0,1.33,"$56,990.00",No,0,0,1,1,0.92,NA,Raleigh,NC,place
-78.5951790275954,35.8478504221558,4803 Walenda Drive,Walden Woods,1324,1973,3,2,1,Condo,"$63,900","$61,000",0-.25 Acres,6,0,1.018,"$62,433.00",No,1,0,3,3,0.95,NA,Raleigh,NC,place
-78.7054672881713,35.7817331341237,1212 Schaub Drive,Driftwood,1018,1972,2,1,1,Condo,"$65,000","$61,000",0-.25 Acres,5,0,1.0188,"$53,756.00",No,0,0,6,6,0.94,NA,Raleigh,NC,place
-78.6177068377965,35.7445123691079,2605 EVERS Drive,Kingwood Forest,1226,1971,3,1,0,Detached,"$63,000","$63,000",0-.25 Acres,6,0,1.0355,"$98,796.00",No,0,0,58,58,1,NA,Raleigh,NC,place
-78.6181939950731,35.7534245152897,1925 Waters Drive,Biltmore Hills,1291,1965,3,1,0,Detached,"$70,000","$63,500",.26-.5 Acres,6,210,1.33,"$84,429.00",No,0,1,0,0,0.91,NA,Raleigh,NC,place
-78.6289081855877,35.7544290174439,1905 Charles Street,Rochester Heights,1094,1959,3,1,0,Detached,"$64,500","$64,500",0-.25 Acres,5,0,1.0188,"$86,832.00",No,0,0,5,5,1,NA,Raleigh,NC,place
-78.6144463900022,35.740249,1405 Savannah Drive,Kingwood Forest,1485,1968,3,1,1,Detached,"$60,000","$65,000",.26-.5 Acres,6,0,1.0188,"$94,406.00",No,0,0,2,2,1.08,NA,Raleigh,NC,place
-78.5964198537724,35.8466513918946,4805 Walden Court,Walden Woods,1315,1973,3,2,1,Condo,"$69,900","$69,900",0-.25 Acres,6,0,1.018,"$61,765.00",No,0,0,33,33,1,NA,Raleigh,NC,place
-78.6164913265306,35.7411105102041,1209 Armstrong Circle,Kingwood Forest,1929,1971,3,1,1,Detached,"$69,900","$69,900",0-.25 Acres,5,0,1.019,"$124,036.00",No,0,1,48,48,1,NA,Raleigh,NC,place
-78.5964154609771,35.8466438848042,4801 Walden Court,Walden Woods,1290,1973,3,2,1,Condo,"$75,000","$70,000",0-.25 Acres,6,0,1.018,"$61,765.00",No,0,0,22,22,0.93,NA,Raleigh,NC,place
-78.5573090690303,35.8832333278179,8129 McGuire Drive,Berkshire Downs West,1026,1985,2,1,1,Attached,"$75,000","$70,500",0-.25 Acres,4,0,1.0355,"$73,064.00",No,1,0,3,3,0.94,NA,Raleigh,NC,place
